time,Lx,V,pressure,U,T,work_cum,dS_IG,delta_a,alpha,alpha_over_T,PV_gamma,T_V_gamma_minus1,impulse_events
28.1,18.62,7448,0.593659920756,4788.29667034,0.349714918955,273.026049185,0.929829959741,2.69974586843,-0.661072841769,-1.89072174398,1686309.07184,133.37484831,40
28.3,18.61,7444,0.612686216277,4790.66416282,0.349887829595,275.47679405,1.86453277747,3.10296099305,-0.735468511931,-2.10253179667,1738796.34037,133.393012107,33
28.5,18.6,7440,0.437255134777,4792.70789882,0.350037094567,277.225814589,0.933664005518,2.07576789324,-0.0320318945814,-0.0915295154539,1239813.83251,133.40210855,25
28.7,18.59,7436,0.467444787468,4794.59139206,0.350174656154,279.095593739,0.470935362775,2.03465638729,-0.151163144354,-0.431764089072,1324227.56266,133.406696985,23
28.9,18.58,7432,0.603820054638,4796.96874864,0.350348287222,281.510873958,1.875889043,3.07233187548,-0.694975295109,-1.98416140879,1709032.68295,133.424975784,33
29.1,18.57,7428,0.559490023195,4799.17630636,0.35050951697,283.74883405,1.38545612409,2.72346396124,-0.515906244456,-1.47221373971,1582142.16561,133.438477376,30
29.3,18.56,7424,0.563994158068,4801.35837719,0.350668885275,286.004810683,1.30723150044,2.71427787969,-0.532207046777,-1.51803605209,1593447.93435,133.451217904,27
29.5,18.55,7420,0.617884288156,4803.97634139,0.350860089204,288.476347835,2.54416669265,3.36394047802,-0.745976281302,-2.12671552691,1744135.92412,133.476017326,29
29.7,18.54,7416,0.486227588722,4806.01907074,0.351009280656,290.42125819,0.898743458341,2.26031060728,-0.217581250224,-0.620004974051,1371268.39274,133.484778985,26
29.9,18.53,7412,0.797980750406,4808.70236431,0.351205255939,293.613181192,2.71763853793,4.1461056449,-1.46281207978,-4.16628253489,2248457.93027,133.511276165,43
30.1,18.52,7408,0.482878497447,4810.76860469,0.351356164526,295.544695182,0.954625168639,2.26685539703,-0.20061501975,-0.571096032051,1359375.66006,133.52058508,28
30.3,18.51,7404,0.723055657033,4813.55782785,0.351559876413,298.43691781,3.00609222593,3.9487378512,-1.15951469173,-3.29915558672,2033679.03598,133.549902876,42
30.5,18.5,7400,0.5550704136,4816.1858774,0.351751816929,300.657199464,2.54063579941,3.11371108753,-0.485661537787,-1.38107056198,1559795.31672,133.57468619,28
30.7,18.49,7396,0.415170948839,4817.90537658,0.351877401152,302.317883259,-0.0478730046306,1.64384137295,0.0756578082055,0.215050217533,1165614.99942,133.574219158,21
30.9,18.48,7392,0.586103633911,4819.96400224,0.352027753597,304.662297795,0.911098470132,2.66507799045,-0.606452324794,-1.72310806563,1644034.81849,133.583107802,33
