time,T,V,W,Q,p_mech,p_IG,sigma,dS_IG_win
37.6,0.689356663,7707.2,45.7615325,1037.91959,0.101463941,0.183179682,-0.187759673,2.95493413
37.8,0.690844654,7705.6,46.0675619,1042.50422,0.191268427,0.183613197,0.0249096994,6.19862392
38,0.691506076,7704,46.2785182,1044.2538,0.131847674,0.18382716,-0.118819308,2.5144666
38.2,0.693060698,7702.4,46.7552783,1048.83561,0.297975034,0.184278707,0.270263669,6.47324111
38.4,0.692335145,7700.8,46.9654611,1045.93355,0.131364261,0.184124036,-0.120198916,-3.6431783
38.6,0.692316359,7699.2,47.1944311,1045.76865,0.143106237,0.184157302,-0.0948270377,-0.508916129
38.8,0.69333469,7697.6,47.4724254,1048.57483,0.173746424,0.184466515,-0.0213776659,4.08965164
39,0.695011749,7696,47.8531714,1053.56973,0.237966273,0.184951152,0.13104922,6.99593819
39.2,0.694186368,7694.4,48.1788494,1050.50357,0.203548764,0.184769921,0.0454965353,-4.07623536
39.4,0.701163291,7692.8,48.4396354,1071.49729,0.162991273,0.186665768,0.0991204188,30.2951129
39.6,0.702247752,7691.2,48.4712623,1074.80741,0.0197667992,0.186993369,-0.377297612,4.32166865
39.8,0.705259388,7689.6,48.9059957,1083.51612,0.271708384,0.187834377,0.21841573,12.720219
40,0.708544115,7688,49.094169,1093.48319,0.117608295,0.188748484,-0.127487812,13.8483646
