time,T,V,W_core,Q_hist,p_mech,p_IG,sigma
165,0.990409143,7918.4,22.0411968,31.0368376,0.295787641,0.256157547,0.0817797794
165.5,0.999312509,7918,22.1723767,57.5469752,0.327949712,0.258473354,0.150467571
166,1.00196108,7917.6,22.2493836,65.8785422,0.192517271,0.259171504,-0.0158551333
166.5,0.998051088,7917.2,22.3286898,53.6858245,0.198265507,0.258173171,-0.000494382043
167,0.995865807,7916.8,22.3932902,46.8203158,0.161500963,0.257620904,-0.0312196481
167.5,0.997313483,7916.4,22.4923389,51.4821087,0.247621812,0.25800844,-0.00092362746
168,0.994408579,7916,22.5745655,42.1688798,0.2055665,0.257269931,-0.0077128575
168.5,0.987555709,7915.6,22.6896347,22.10717,0.287673042,0.255509891,0.0866523408
169,0.985088374,7915.2,22.7783993,15.1350688,0.221911587,0.254884398,-0.00376620976
169.5,0.987702231,7914.8,22.8792836,23.8823717,0.252210643,0.25557363,0.00941697384
170,0.98523488,7914.4,22.9676565,15.0872211,0.2209322,0.254948074,-0.00419043214
170.5,0.985766379,7914,23.1010157,16.6026899,0.333397936,0.255098502,0.032221308
171,0.983132652,7913.6,23.2464186,7.67012138,0.363507398,0.254429801,0.0553857895
171.5,0.988518855,7913.2,23.3657971,24.6998145,0.298446213,0.255836655,0.0630130305
172,0.990626872,7912.8,23.4577992,32.106262,0.230005232,0.256395187,-0.00368801099
172.5,0.985645488,7912.4,23.614576,16.8478868,0.391941913,0.255118796,0.0946300716
173,0.98142084,7912,23.734229,3.49173629,0.299132711,0.254038155,0.0467622483
173.5,0.982247415,7911.6,23.8555506,6.1044474,0.30330395,0.254264966,0.0210610544
174,0.984262549,7911.2,23.9364529,13.6578585,0.202255637,0.254799487,-0.0149037847
174.5,0.984218256,7910.8,24.0552979,12.6404331,0.29711263,0.254800904,0.0172018034
175,0.98533504,7910.4,24.1589572,16.1766351,0.259148128,0.255102923,0.00361942988
175.5,0.980829478,7910,24.2844819,4.41244309,0.313811882,0.253949276,0.0567284694
176,0.981139612,7909.6,24.3688464,4.30857463,0.210911125,0.25404242,-0.0174280397
176.5,0.983425606,7909.2,24.5014622,10.6588256,0.331539492,0.254647201,0.0395904111
177,0.988871529,7908.8,24.5999088,26.3907984,0.246116619,0.256070313,0.0427339719
177.5,0.99032939,7908.4,24.7188796,31.6078292,0.29742693,0.2564608,0.0198809762
178,0.986352874,7908,24.8316994,18.8398325,0.2820495,0.255443941,0.0356902114
178.5,0.984948197,7907.6,24.9643017,13.5935806,0.33150572,0.255093063,0.0341558509
179,0.982553537,7907.2,25.0991821,6.90076129,0.33720102,0.25448574,0.0427850329
179.5,0.986851745,7906.8,25.1723236,19.0094674,0.182853657,0.255611926,-0.000265377555
180,0.987083246,7906.4,25.2458896,19.3385976,0.183915096,0.255684824,-0.0289964352
180.5,0.988817748,7906,25.392917,24.3444113,0.367568428,0.256147071,0.049806865
181,0.986958887,7905.6,25.49022,19.0908564,0.243257542,0.255678481,0.000410390162
181.5,0.986161521,7905.2,25.596414,16.9006251,0.265485043,0.255484845,0.00506246753
182,0.986786901,7904.8,25.7187343,18.4308658,0.305800748,0.255659798,0.0209447419
182.5,0.99243465,7904.4,25.8155155,36.1268181,0.241953066,0.257136046,0.0438163754
183,0.996384938,7904,25.9409736,47.7143835,0.313645121,0.258172615,0.0464793099
183.5,1.00216163,7903.6,26.0221301,65.2825004,0.202891356,0.259682553,0.0285678903
184,1.00672409,7903.2,26.1301144,79.742596,0.269960793,0.26087799,0.0352547985
184.5,1.01006902,7902.8,26.2264226,89.8049657,0.240770372,0.261758029,0.00857322301
185,1.00751509,7902.4,26.360574,82.0043077,0.335378432,0.261109398,0.0393417295
185.5,1.01035979,7902,26.4866622,91.0077372,0.315220595,0.26185989,0.0333271609
186,1.0037386,7901.6,26.5874998,70.8120299,0.252094044,0.260157013,0.063334769
186.5,0.9995102,7901.2,26.6860201,57.919073,0.246300792,0.259074177,0.0223031055
187,0.998666986,7900.8,26.8329147,55.5958622,0.367236415,0.25886872,0.0445019755
187.5,0.996076059,7900.4,26.9281787,49.1023709,0.238160044,0.258210188,0.00232539879
188,0.998764855,7900,27.0193867,56.6203862,0.228019885,0.258920307,-0.00122062757
188.5,1.001282,7899.6,27.1487984,64.6988988,0.323529365,0.259585996,0.0352707421
189,1.00268226,7899.2,27.2435236,68.2725923,0.236812916,0.259962182,-0.00623393517
189.5,1.00473312,7898.8,27.3439491,73.8128553,0.25106375,0.260507094,0.00265155069
190,1.01322104,7898.4,27.4992844,100.322508,0.388338252,0.262721143,0.157991188
190.5,1.00701131,7898,27.6067256,80.6313955,0.268602984,0.261124229,0.0611416534
191,1.01269081,7897.6,27.7175188,97.8231387,0.276983086,0.26261026,0.0541735121
191.5,1.00766496,7897.2,27.8146582,82.8538538,0.242848552,0.261320194,0.0307537401
192,1.00092028,7896.8,27.9504909,62.1685129,0.339581663,0.259584229,0.101405659
192.5,1.00256947,7896.4,28.0097137,67.1924053,0.148057009,0.260025111,-0.0405089903
193,1.00546137,7896,28.1564918,75.9445666,0.366945291,0.26078836,0.0549656699
193.5,1.01034389,7895.6,28.2605696,91.0226526,0.260194455,0.262068024,0.0352476425
194,1.01311753,7895.2,28.3587644,99.3862953,0.245486909,0.262800779,0.00470038239
194.5,1.01330536,7894.8,28.4742155,99.6180624,0.288627879,0.262862817,0.0102261075
195,1.00850868,7894.4,28.5874575,85.5371015,0.283104865,0.261631761,0.0431562601
195.5,1.01010063,7894,28.7297903,90.6454512,0.355832156,0.26205803,0.0409564287
196,1.00734351,7893.6,28.8010867,81.7278423,0.178240897,0.261355974,-0.0215154313
196.5,1.0064485,7893.2,28.9316996,78.6500336,0.326532318,0.261136996,0.0272071202
197,1.00413736,7892.8,29.0231946,71.9158436,0.228737428,0.260550542,-0.00454576714
197.5,1.0057353,7892.4,29.15216,77.6137042,0.322413649,0.260978396,0.0283181203
198,1.00516532,7892,29.2451493,75.2323842,0.232473158,0.260843712,-0.0107935706
198.5,1.01538866,7891.6,29.395732,107.139068,0.37645667,0.263510059,0.201258247
199,1.01639895,7891.2,29.5235914,110.445673,0.31964848,0.263785616,0.0235058403
199.5,1.01735712,7890.8,29.6585913,114.038004,0.337499733,0.264047673,0.0302455096
200,1.01392141,7890.4,29.7248382,103.32586,0.165617253,0.2631693,-0.0208855581
200.5,1.01520383,7890,29.8139726,106.855933,0.222836207,0.263515518,-0.0135723313
201,1.02407332,7889.6,29.9113746,133.722439,0.243504839,0.265831241,0.107171325
201.5,1.02903846,7889.2,30.0327685,148.912073,0.303484769,0.267133646,0.0500076084
202,1.02399711,7888.8,30.1303891,134.07883,0.244051586,0.265838413,0.0285999232
202.5,1.02469622,7888.4,30.2260418,135.665598,0.23913167,0.266033399,-0.0097833956
203,1.02532018,7888,30.339083,138.237401,0.282603091,0.266208889,0.00696742116
203.5,1.02544926,7887.6,30.4187879,139.311165,0.199262186,0.266255906,-0.0261054619
204,1.02624392,7887.2,30.4945901,140.293752,0.189505438,0.266475752,-0.0290766853
204.5,1.02304187,7886.8,30.6153695,130.94793,0.301948563,0.265657775,0.0292081077
205,1.02509498,7886.4,30.7539154,136.931615,0.346364787,0.266204417,0.0374515885
205.5,1.01768268,7886,30.8607463,114.29302,0.267077284,0.264292941,0.0821874135
206,1.02664405,7885.6,30.9827891,142.013347,0.305106988,0.26663374,0.132708859
206.5,1.0308527,7885.2,31.0607555,154.070935,0.194915872,0.267740364,-0.00258291434
207,1.03139706,7884.8,31.1398939,155.516722,0.197846003,0.26789534,-0.0267361194
207.5,1.03219816,7884.4,31.2593991,158.337647,0.298763137,0.26811702,0.0128043854
208,1.0366179,7884,31.3766318,172.80762,0.29308179,0.269278725,0.0371892377
208.5,1.03112146,7883.6,31.4626229,156.924781,0.214977564,0.267864522,0.0229769333
209,1.03675349,7883.2,31.567075,173.220171,0.261130344,0.269341277,0.0423279806
209.5,1.03395039,7882.8,31.6861381,165.090968,0.297657844,0.26862668,0.0225028349
210,1.03408776,7882.4,31.8163944,165.443145,0.325640537,0.268676003,0.022064444
210.5,1.04547864,7882,31.9695301,201.767261,0.382839262,0.271649361,0.226216719
211,1.03665856,7881.6,32.0582634,174.006874,0.221833433,0.269371287,0.0922229693
211.5,1.03870154,7881.2,32.140968,181.275635,0.206761434,0.269915844,-0.0183680491
212,1.03875445,7880.8,32.2655186,180.693968,0.311376456,0.269943294,0.0159615635
212.5,1.03438644,7880.4,32.3915987,165.703396,0.31520021,0.268821815,0.0452504572
213,1.03876943,7880,32.5203948,178.154723,0.321990342,0.269974593,0.0474555441
213.5,1.03436614,7879.6,32.6594099,164.923907,0.34753762,0.268843831,0.0581910022
214,1.03575908,7879.2,32.7533378,168.840772,0.234819855,0.26921954,-0.0105016316
214.5,1.0396502,7878.8,32.9135629,180.600845,0.400562854,0.270244659,0.0717119741
215,1.03450898,7878.4,33.0042839,164.797531,0.226802458,0.268921913,0.0215279746
215.5,1.02985876,7878,33.1298698,150.642407,0.31396478,0.267726675,0.0491848909
216,1.03504455,7877.6,33.2064589,166.352293,0.191472642,0.269088459,0.00869371954
216.5,1.03475553,7877.2,33.3145627,165.950529,0.270259471,0.26902698,0.000598887592
217,1.02971236,7876.8,33.3985021,151.127254,0.209848488,0.267729397,0.0142424721
217.5,1.03040478,7876.4,33.5183786,153.454174,0.29969129,0.267923034,0.0130288943
218,1.03439695,7876,33.6043549,166.119937,0.214940785,0.268974728,0.00204577426
